book,index,negative,positive,sentiment
Sense & Sensibility,0,16,32,16
Sense & Sensibility,1,19,53,34
Sense & Sensibility,2,12,31,19
Sense & Sensibility,3,15,31,16
Sense & Sensibility,4,16,34,18
Sense & Sensibility,5,16,51,35
Sense & Sensibility,6,24,40,16
Sense & Sensibility,7,23,51,28
Sense & Sensibility,8,30,40,10
Sense & Sensibility,9,15,19,4
Sense & Sensibility,10,12,32,20
Sense & Sensibility,11,14,40,26
Sense & Sensibility,12,22,48,26
Sense & Sensibility,13,22,42,20
Sense & Sensibility,14,36,24,-12
Sense & Sensibility,15,23,31,8
Sense & Sensibility,16,15,38,23
Sense & Sensibility,17,15,47,32
Sense & Sensibility,18,19,53,34
Sense & Sensibility,19,31,38,7
Sense & Sensibility,20,25,29,4
Sense & Sensibility,21,24,38,14
Sense & Sensibility,22,25,28,3
Sense & Sensibility,23,10,18,8
Sense & Sensibility,24,15,22,7
Sense & Sensibility,25,18,12,-6
Sense & Sensibility,26,14,19,5
Sense & Sensibility,27,20,30,10
Sense & Sensibility,28,25,27,2
Sense & Sensibility,29,13,45,32
Sense & Sensibility,30,14,17,3
Sense & Sensibility,31,35,30,-5
Sense & Sensibility,32,34,24,-10
Sense & Sensibility,33,35,26,-9
Sense & Sensibility,34,16,22,6
Sense & Sensibility,35,16,26,10
Sense & Sensibility,36,17,39,22
Sense & Sensibility,37,16,34,18
Sense & Sensibility,38,20,27,7
Sense & Sensibility,39,30,53,23
Sense & Sensibility,40,16,15,-1
Sense & Sensibility,41,28,40,12
Sense & Sensibility,42,33,33,0
Sense & Sensibility,43,3,26,23
Sense & Sensibility,44,15,17,2
Sense & Sensibility,45,20,21,1
Sense & Sensibility,46,27,26,-1
Sense & Sensibility,47,14,28,14
Sense & Sensibility,48,9,48,39
Sense & Sensibility,49,31,48,17
Sense & Sensibility,50,30,33,3
Sense & Sensibility,51,21,48,27
Sense & Sensibility,52,28,26,-2
Sense & Sensibility,53,19,25,6
Sense & Sensibility,54,26,32,6
Sense & Sensibility,55,27,23,-4
Sense & Sensibility,56,45,26,-19
Sense & Sensibility,57,25,41,16
Sense & Sensibility,58,24,33,9
Sense & Sensibility,59,28,37,9
Sense & Sensibility,60,21,31,10
Sense & Sensibility,61,23,23,0
Sense & Sensibility,62,31,42,11
Sense & Sensibility,63,31,30,-1
Sense & Sensibility,64,28,33,5
Sense & Sensibility,65,23,41,18
Sense & Sensibility,66,21,27,6
Sense & Sensibility,67,30,19,-11
Sense & Sensibility,68,14,19,5
Sense & Sensibility,69,18,15,-3
Sense & Sensibility,70,28,23,-5
Sense & Sensibility,71,21,22,1
Sense & Sensibility,72,33,24,-9
Sense & Sensibility,73,29,21,-8
Sense & Sensibility,74,36,15,-21
Sense & Sensibility,75,42,28,-14
Sense & Sensibility,76,20,12,-8
Sense & Sensibility,77,36,28,-8
Sense & Sensibility,78,29,21,-8
Sense & Sensibility,79,25,43,18
Sense & Sensibility,80,20,27,7
Sense & Sensibility,81,13,18,5
Sense & Sensibility,82,22,33,11
Sense & Sensibility,83,34,37,3
Sense & Sensibility,84,29,36,7
Sense & Sensibility,85,35,37,2
Sense & Sensibility,86,34,23,-11
Sense & Sensibility,87,38,16,-22
Sense & Sensibility,88,28,38,10
Sense & Sensibility,89,15,22,7
Sense & Sensibility,90,21,25,4
Sense & Sensibility,91,16,36,20
Sense & Sensibility,92,14,32,18
Sense & Sensibility,93,16,35,19
Sense & Sensibility,94,12,45,33
Sense & Sensibility,95,18,37,19
Sense & Sensibility,96,30,37,7
Sense & Sensibility,97,25,29,4
Sense & Sensibility,98,19,42,23
Sense & Sensibility,99,20,39,19
Sense & Sensibility,100,20,37,17
Sense & Sensibility,101,16,23,7
Sense & Sensibility,102,19,27,8
Sense & Sensibility,103,15,35,20
Sense & Sensibility,104,14,40,26
Sense & Sensibility,105,15,17,2
Sense & Sensibility,106,40,31,-9
Sense & Sensibility,107,20,31,11
Sense & Sensibility,108,34,22,-12
Sense & Sensibility,109,29,45,16
Sense & Sensibility,110,24,25,1
Sense & Sensibility,111,19,29,10
Sense & Sensibility,112,20,17,-3
Sense & Sensibility,113,17,21,4
Sense & Sensibility,114,16,52,36
Sense & Sensibility,115,24,23,-1
Sense & Sensibility,116,22,40,18
Sense & Sensibility,117,10,36,26
Sense & Sensibility,118,20,29,9
Sense & Sensibility,119,11,31,20
Sense & Sensibility,120,8,22,14
Sense & Sensibility,121,21,28,7
Sense & Sensibility,122,16,28,12
Sense & Sensibility,123,33,33,0
Sense & Sensibility,124,13,29,16
Sense & Sensibility,125,17,48,31
Sense & Sensibility,126,43,29,-14
Sense & Sensibility,127,32,29,-3
Sense & Sensibility,128,40,20,-20
Sense & Sensibility,129,42,58,16
Sense & Sensibility,130,32,23,-9
Sense & Sensibility,131,15,22,7
Sense & Sensibility,132,41,36,-5
Sense & Sensibility,133,38,31,-7
Sense & Sensibility,134,34,29,-5
Sense & Sensibility,135,25,27,2
Sense & Sensibility,136,41,22,-19
Sense & Sensibility,137,29,28,-1
Sense & Sensibility,138,29,37,8
Sense & Sensibility,139,14,59,45
Sense & Sensibility,140,18,27,9
Sense & Sensibility,141,17,43,26
Sense & Sensibility,142,30,40,10
Sense & Sensibility,143,38,36,-2
