index,sentiment,method,negative,positive,litigious,uncertainty,constraining,superfluous
0,6,AFINN,NA,NA,NA,NA,NA,NA
1,-10,AFINN,NA,NA,NA,NA,NA,NA
2,-12,AFINN,NA,NA,NA,NA,NA,NA
3,0,AFINN,NA,NA,NA,NA,NA,NA
4,-2,AFINN,NA,NA,NA,NA,NA,NA
5,5,AFINN,NA,NA,NA,NA,NA,NA
6,-18,AFINN,NA,NA,NA,NA,NA,NA
7,5,AFINN,NA,NA,NA,NA,NA,NA
8,8,AFINN,NA,NA,NA,NA,NA,NA
9,-7,AFINN,NA,NA,NA,NA,NA,NA
10,-9,AFINN,NA,NA,NA,NA,NA,NA
11,19,AFINN,NA,NA,NA,NA,NA,NA
12,5,AFINN,NA,NA,NA,NA,NA,NA
13,33,AFINN,NA,NA,NA,NA,NA,NA
14,-6,AFINN,NA,NA,NA,NA,NA,NA
15,2,AFINN,NA,NA,NA,NA,NA,NA
16,6,AFINN,NA,NA,NA,NA,NA,NA
17,19,AFINN,NA,NA,NA,NA,NA,NA
18,59,AFINN,NA,NA,NA,NA,NA,NA
19,41,AFINN,NA,NA,NA,NA,NA,NA
20,16,AFINN,NA,NA,NA,NA,NA,NA
21,5,AFINN,NA,NA,NA,NA,NA,NA
22,-25,AFINN,NA,NA,NA,NA,NA,NA
23,-22,AFINN,NA,NA,NA,NA,NA,NA
24,18,AFINN,NA,NA,NA,NA,NA,NA
25,-17,AFINN,NA,NA,NA,NA,NA,NA
26,7,AFINN,NA,NA,NA,NA,NA,NA
27,-4,AFINN,NA,NA,NA,NA,NA,NA
28,22,AFINN,NA,NA,NA,NA,NA,NA
29,-6,AFINN,NA,NA,NA,NA,NA,NA
30,36,AFINN,NA,NA,NA,NA,NA,NA
31,0,AFINN,NA,NA,NA,NA,NA,NA
32,-14,AFINN,NA,NA,NA,NA,NA,NA
33,-6,AFINN,NA,NA,NA,NA,NA,NA
34,-50,AFINN,NA,NA,NA,NA,NA,NA
35,-25,AFINN,NA,NA,NA,NA,NA,NA
36,-37,AFINN,NA,NA,NA,NA,NA,NA
37,-15,AFINN,NA,NA,NA,NA,NA,NA
38,-11,AFINN,NA,NA,NA,NA,NA,NA
39,-23,AFINN,NA,NA,NA,NA,NA,NA
40,-3,AFINN,NA,NA,NA,NA,NA,NA
41,-57,AFINN,NA,NA,NA,NA,NA,NA
42,-16,AFINN,NA,NA,NA,NA,NA,NA
43,-21,AFINN,NA,NA,NA,NA,NA,NA
44,-35,AFINN,NA,NA,NA,NA,NA,NA
45,-8,AFINN,NA,NA,NA,NA,NA,NA
46,-26,AFINN,NA,NA,NA,NA,NA,NA
47,-21,AFINN,NA,NA,NA,NA,NA,NA
48,13,AFINN,NA,NA,NA,NA,NA,NA
49,-17,AFINN,NA,NA,NA,NA,NA,NA
50,-8,AFINN,NA,NA,NA,NA,NA,NA
51,5,AFINN,NA,NA,NA,NA,NA,NA
52,-7,AFINN,NA,NA,NA,NA,NA,NA
53,-5,AFINN,NA,NA,NA,NA,NA,NA
54,12,AFINN,NA,NA,NA,NA,NA,NA
55,-2,AFINN,NA,NA,NA,NA,NA,NA
56,18,AFINN,NA,NA,NA,NA,NA,NA
57,-47,AFINN,NA,NA,NA,NA,NA,NA
58,-7,AFINN,NA,NA,NA,NA,NA,NA
59,-30,AFINN,NA,NA,NA,NA,NA,NA
60,19,AFINN,NA,NA,NA,NA,NA,NA
61,23,AFINN,NA,NA,NA,NA,NA,NA
62,25,AFINN,NA,NA,NA,NA,NA,NA
63,4,AFINN,NA,NA,NA,NA,NA,NA
64,-25,AFINN,NA,NA,NA,NA,NA,NA
65,12,AFINN,NA,NA,NA,NA,NA,NA
66,-11,AFINN,NA,NA,NA,NA,NA,NA
67,-13,AFINN,NA,NA,NA,NA,NA,NA
68,0,AFINN,NA,NA,NA,NA,NA,NA
69,32,AFINN,NA,NA,NA,NA,NA,NA
70,22,AFINN,NA,NA,NA,NA,NA,NA
71,10,AFINN,NA,NA,NA,NA,NA,NA
72,-51,AFINN,NA,NA,NA,NA,NA,NA
73,12,AFINN,NA,NA,NA,NA,NA,NA
74,-29,AFINN,NA,NA,NA,NA,NA,NA
75,-21,AFINN,NA,NA,NA,NA,NA,NA
76,-6,AFINN,NA,NA,NA,NA,NA,NA
77,-17,AFINN,NA,NA,NA,NA,NA,NA
78,11,AFINN,NA,NA,NA,NA,NA,NA
79,-15,AFINN,NA,NA,NA,NA,NA,NA
80,-13,AFINN,NA,NA,NA,NA,NA,NA
81,-2,AFINN,NA,NA,NA,NA,NA,NA
82,6,AFINN,NA,NA,NA,NA,NA,NA
83,20,AFINN,NA,NA,NA,NA,NA,NA
84,-15,AFINN,NA,NA,NA,NA,NA,NA
85,22,AFINN,NA,NA,NA,NA,NA,NA
86,7,AFINN,NA,NA,NA,NA,NA,NA
87,-31,AFINN,NA,NA,NA,NA,NA,NA
88,20,AFINN,NA,NA,NA,NA,NA,NA
89,24,AFINN,NA,NA,NA,NA,NA,NA
90,-21,AFINN,NA,NA,NA,NA,NA,NA
91,-13,AFINN,NA,NA,NA,NA,NA,NA
92,-9,AFINN,NA,NA,NA,NA,NA,NA
93,-6,AFINN,NA,NA,NA,NA,NA,NA
94,-17,AFINN,NA,NA,NA,NA,NA,NA
95,-27,AFINN,NA,NA,NA,NA,NA,NA
96,10,AFINN,NA,NA,NA,NA,NA,NA
97,-58,AFINN,NA,NA,NA,NA,NA,NA
98,13,AFINN,NA,NA,NA,NA,NA,NA
99,-31,AFINN,NA,NA,NA,NA,NA,NA
100,-23,AFINN,NA,NA,NA,NA,NA,NA
101,-1,AFINN,NA,NA,NA,NA,NA,NA
102,-46,AFINN,NA,NA,NA,NA,NA,NA
103,18,AFINN,NA,NA,NA,NA,NA,NA
104,-20,AFINN,NA,NA,NA,NA,NA,NA
105,-4,AFINN,NA,NA,NA,NA,NA,NA
106,12,AFINN,NA,NA,NA,NA,NA,NA
107,27,AFINN,NA,NA,NA,NA,NA,NA
108,26,AFINN,NA,NA,NA,NA,NA,NA
109,6,AFINN,NA,NA,NA,NA,NA,NA
110,7,AFINN,NA,NA,NA,NA,NA,NA
111,8,AFINN,NA,NA,NA,NA,NA,NA
0,4,Bing,16,20,NA,NA,NA,NA
1,-5,Bing,13,8,NA,NA,NA,NA
2,-4,Bing,8,4,NA,NA,NA,NA
3,-5,Bing,10,5,NA,NA,NA,NA
4,-4,Bing,8,4,NA,NA,NA,NA
5,2,Bing,5,7,NA,NA,NA,NA
6,-12,Bing,34,22,NA,NA,NA,NA
7,6,Bing,17,23,NA,NA,NA,NA
8,6,Bing,13,19,NA,NA,NA,NA
9,-10,Bing,23,13,NA,NA,NA,NA
10,-4,Bing,21,17,NA,NA,NA,NA
11,18,Bing,11,29,NA,NA,NA,NA
12,3,Bing,15,18,NA,NA,NA,NA
13,20,Bing,18,38,NA,NA,NA,NA
14,-19,Bing,42,23,NA,NA,NA,NA
15,-10,Bing,39,29,NA,NA,NA,NA
16,-5,Bing,26,21,NA,NA,NA,NA
17,9,Bing,21,30,NA,NA,NA,NA
18,26,Bing,16,42,NA,NA,NA,NA
19,21,Bing,25,46,NA,NA,NA,NA
20,2,Bing,18,20,NA,NA,NA,NA
21,0,Bing,27,27,NA,NA,NA,NA
22,-18,Bing,40,22,NA,NA,NA,NA
23,-12,Bing,19,7,NA,NA,NA,NA
24,2,Bing,29,31,NA,NA,NA,NA
25,-7,Bing,19,12,NA,NA,NA,NA
26,13,Bing,5,18,NA,NA,NA,NA
27,-2,Bing,24,22,NA,NA,NA,NA
28,1,Bing,13,14,NA,NA,NA,NA
29,3,Bing,19,22,NA,NA,NA,NA
30,12,Bing,4,16,NA,NA,NA,NA
31,-10,Bing,17,7,NA,NA,NA,NA
32,-12,Bing,37,25,NA,NA,NA,NA
33,-4,Bing,29,25,NA,NA,NA,NA
34,-40,Bing,51,11,NA,NA,NA,NA
35,-15,Bing,22,7,NA,NA,NA,NA
36,-14,Bing,25,11,NA,NA,NA,NA
37,-13,Bing,29,16,NA,NA,NA,NA
38,-12,Bing,22,10,NA,NA,NA,NA
39,-15,Bing,22,7,NA,NA,NA,NA
40,-5,Bing,21,16,NA,NA,NA,NA
41,-34,Bing,43,9,NA,NA,NA,NA
42,-19,Bing,32,13,NA,NA,NA,NA
43,-9,Bing,25,16,NA,NA,NA,NA
44,-26,Bing,53,27,NA,NA,NA,NA
45,-13,Bing,27,14,NA,NA,NA,NA
46,-19,Bing,41,22,NA,NA,NA,NA
47,-6,Bing,25,19,NA,NA,NA,NA
48,6,Bing,17,23,NA,NA,NA,NA
49,-9,Bing,30,21,NA,NA,NA,NA
50,-16,Bing,44,28,NA,NA,NA,NA
51,3,Bing,24,27,NA,NA,NA,NA
52,-17,Bing,27,10,NA,NA,NA,NA
53,-14,Bing,32,18,NA,NA,NA,NA
54,1,Bing,27,28,NA,NA,NA,NA
55,-10,Bing,26,16,NA,NA,NA,NA
56,2,Bing,12,14,NA,NA,NA,NA
57,-35,Bing,52,17,NA,NA,NA,NA
58,-9,Bing,41,32,NA,NA,NA,NA
59,0,Bing,25,25,NA,NA,NA,NA
60,4,Bing,19,23,NA,NA,NA,NA
61,12,Bing,7,19,NA,NA,NA,NA
62,12,Bing,20,32,NA,NA,NA,NA
63,-8,Bing,23,15,NA,NA,NA,NA
64,-20,Bing,40,20,NA,NA,NA,NA
65,-13,Bing,25,12,NA,NA,NA,NA
66,-11,Bing,28,17,NA,NA,NA,NA
67,-13,Bing,37,24,NA,NA,NA,NA
68,0,Bing,34,34,NA,NA,NA,NA
69,8,Bing,34,42,NA,NA,NA,NA
70,7,Bing,31,38,NA,NA,NA,NA
71,-4,Bing,23,19,NA,NA,NA,NA
72,-39,Bing,52,13,NA,NA,NA,NA
73,9,Bing,21,30,NA,NA,NA,NA
74,-18,Bing,32,14,NA,NA,NA,NA
75,-17,Bing,24,7,NA,NA,NA,NA
76,-6,Bing,32,26,NA,NA,NA,NA
77,1,Bing,9,10,NA,NA,NA,NA
78,20,Bing,5,25,NA,NA,NA,NA
79,-7,Bing,25,18,NA,NA,NA,NA
80,5,Bing,14,19,NA,NA,NA,NA
81,-6,Bing,32,26,NA,NA,NA,NA
82,-5,Bing,20,15,NA,NA,NA,NA
83,6,Bing,18,24,NA,NA,NA,NA
84,-15,Bing,31,16,NA,NA,NA,NA
85,3,Bing,18,21,NA,NA,NA,NA
86,-2,Bing,18,16,NA,NA,NA,NA
87,-3,Bing,17,14,NA,NA,NA,NA
88,17,Bing,15,32,NA,NA,NA,NA
89,-9,Bing,36,27,NA,NA,NA,NA
90,-13,Bing,31,18,NA,NA,NA,NA
91,-7,Bing,22,15,NA,NA,NA,NA
92,-3,Bing,22,19,NA,NA,NA,NA
93,-16,Bing,33,17,NA,NA,NA,NA
94,-3,Bing,18,15,NA,NA,NA,NA
95,-24,Bing,39,15,NA,NA,NA,NA
96,-9,Bing,30,21,NA,NA,NA,NA
97,-25,Bing,39,14,NA,NA,NA,NA
98,2,Bing,18,20,NA,NA,NA,NA
99,-25,Bing,36,11,NA,NA,NA,NA
100,-10,Bing,33,23,NA,NA,NA,NA
101,-15,Bing,31,16,NA,NA,NA,NA
102,-34,Bing,55,21,NA,NA,NA,NA
103,11,Bing,9,20,NA,NA,NA,NA
104,-1,Bing,19,18,NA,NA,NA,NA
105,5,Bing,13,18,NA,NA,NA,NA
106,5,Bing,13,18,NA,NA,NA,NA
107,18,Bing,6,24,NA,NA,NA,NA
108,9,Bing,23,32,NA,NA,NA,NA
109,3,Bing,35,38,NA,NA,NA,NA
110,7,Bing,15,22,NA,NA,NA,NA
111,3,Bing,0,3,NA,NA,NA,NA
0,13,NRC,18,31,NA,NA,NA,NA
1,7,NRC,12,19,NA,NA,NA,NA
2,3,NRC,13,16,NA,NA,NA,NA
3,1,NRC,7,8,NA,NA,NA,NA
4,-2,NRC,8,6,NA,NA,NA,NA
5,7,NRC,3,10,NA,NA,NA,NA
6,8,NRC,26,34,NA,NA,NA,NA
7,11,NRC,19,30,NA,NA,NA,NA
8,-1,NRC,13,12,NA,NA,NA,NA
9,-13,NRC,23,10,NA,NA,NA,NA
10,8,NRC,24,32,NA,NA,NA,NA
11,11,NRC,9,20,NA,NA,NA,NA
12,10,NRC,13,23,NA,NA,NA,NA
13,24,NRC,27,51,NA,NA,NA,NA
14,0,NRC,37,37,NA,NA,NA,NA
15,3,NRC,37,40,NA,NA,NA,NA
16,13,NRC,17,30,NA,NA,NA,NA
17,13,NRC,23,36,NA,NA,NA,NA
18,42,NRC,23,65,NA,NA,NA,NA
19,29,NRC,17,46,NA,NA,NA,NA
20,21,NRC,22,43,NA,NA,NA,NA
21,15,NRC,40,55,NA,NA,NA,NA
22,-2,NRC,40,38,NA,NA,NA,NA
23,-12,NRC,20,8,NA,NA,NA,NA
24,12,NRC,19,31,NA,NA,NA,NA
25,-10,NRC,20,10,NA,NA,NA,NA
26,-3,NRC,14,11,NA,NA,NA,NA
27,5,NRC,24,29,NA,NA,NA,NA
28,5,NRC,19,24,NA,NA,NA,NA
29,10,NRC,20,30,NA,NA,NA,NA
30,14,NRC,5,19,NA,NA,NA,NA
31,6,NRC,12,18,NA,NA,NA,NA
32,-13,NRC,46,33,NA,NA,NA,NA
33,-7,NRC,36,29,NA,NA,NA,NA
34,-33,NRC,49,16,NA,NA,NA,NA
35,-7,NRC,20,13,NA,NA,NA,NA
36,-6,NRC,21,15,NA,NA,NA,NA
37,-8,NRC,28,20,NA,NA,NA,NA
38,-12,NRC,23,11,NA,NA,NA,NA
39,-18,NRC,24,6,NA,NA,NA,NA
40,-8,NRC,20,12,NA,NA,NA,NA
41,-3,NRC,37,34,NA,NA,NA,NA
42,-13,NRC,34,21,NA,NA,NA,NA
43,2,NRC,29,31,NA,NA,NA,NA
44,-18,NRC,49,31,NA,NA,NA,NA
45,1,NRC,25,26,NA,NA,NA,NA
46,-16,NRC,40,24,NA,NA,NA,NA
47,-2,NRC,28,26,NA,NA,NA,NA
48,0,NRC,23,23,NA,NA,NA,NA
49,-3,NRC,35,32,NA,NA,NA,NA
50,7,NRC,29,36,NA,NA,NA,NA
51,1,NRC,20,21,NA,NA,NA,NA
