book,index,negative,positive,sentiment
Huckleberry Finn,0,15,7,-8
Huckleberry Finn,1,22,15,-7
Huckleberry Finn,2,15,6,-9
Huckleberry Finn,3,12,10,-2
Huckleberry Finn,4,10,7,-3
Huckleberry Finn,5,34,27,-7
Huckleberry Finn,6,33,27,-6
Huckleberry Finn,7,26,16,-10
Huckleberry Finn,8,26,20,-6
Huckleberry Finn,9,28,18,-10
Huckleberry Finn,10,14,10,-4
Huckleberry Finn,11,16,21,5
Huckleberry Finn,12,16,21,5
Huckleberry Finn,13,20,15,-5
Huckleberry Finn,14,15,14,-1
Huckleberry Finn,15,23,24,1
Huckleberry Finn,16,15,33,18
Huckleberry Finn,17,38,15,-23
Huckleberry Finn,18,18,24,6
Huckleberry Finn,19,25,21,-4
Huckleberry Finn,20,24,27,3
Huckleberry Finn,21,16,33,17
Huckleberry Finn,22,14,24,10
Huckleberry Finn,23,15,25,10
Huckleberry Finn,24,18,20,2
Huckleberry Finn,25,22,24,2
Huckleberry Finn,26,8,21,13
Huckleberry Finn,27,18,29,11
Huckleberry Finn,28,28,24,-4
Huckleberry Finn,29,23,26,3
Huckleberry Finn,30,16,14,-2
Huckleberry Finn,31,15,24,9
Huckleberry Finn,32,17,24,7
Huckleberry Finn,33,18,18,0
Huckleberry Finn,34,19,15,-4
Huckleberry Finn,35,14,34,20
Huckleberry Finn,36,22,10,-12
Huckleberry Finn,37,27,22,-5
Huckleberry Finn,38,23,13,-10
Huckleberry Finn,39,26,21,-5
Huckleberry Finn,40,25,24,-1
Huckleberry Finn,41,12,11,-1
Huckleberry Finn,42,6,13,7
Huckleberry Finn,43,14,28,14
Huckleberry Finn,44,21,23,2
Huckleberry Finn,45,18,22,4
Huckleberry Finn,46,24,23,-1
Huckleberry Finn,47,18,28,10
Huckleberry Finn,48,23,29,6
Huckleberry Finn,49,18,20,2
Huckleberry Finn,50,10,27,17
Huckleberry Finn,51,11,16,5
Huckleberry Finn,52,16,16,0
Huckleberry Finn,53,12,26,14
Huckleberry Finn,54,26,22,-4
Huckleberry Finn,55,29,28,-1
